Ad Soyad;Telefon;Branşlar;Maaş Tipi;Ücret;Şube
Ahmet Yılmaz;05328588902;Piyano, Org;Ders Başı;250;Merkez
Elif Demir;05341047937;Keman, Viyola;Aylık;22000;Merkez
Mehmet Kaya;05541709159;Gitar;Ders Başı;200;Merkez
Zeynep Şahin;05321919929;Şan;Aylık;20000;Kadıköy
Mustafa Çelik;05347798387;Bağlama, Ukulele;Ders Başı;180;Kadıköy
Ayşe Yıldız;05453913209;Yan Flüt;Ders Başı;220;Merkez
Emre Aydın;05532727372;Davul, Perküsyon;Aylık;19000;Kadıköy
Fatma Öztürk;05367770675;Piyano;Ders Başı;260;Kadıköy
Can Arslan;05458051779;Viyolonsel;Ders Başı;300;Merkez
Deniz Koç;05363690267;Ney, Kanun;Aylık;18000;Kadıköy
