Ad Soyad;Öğrenci Telefonu;Veli Adı;Veli Telefonu;Şube;Branş;Öğretmen;Aylık Ücret;Aylık Ders Sayısı;Ders Günü;Ders Saati;Kayıt Tarihi;Devir Borç;Devir İşlenen Ders
Mert Avcı;;Serpil Avcı;05302900008;Merkez;Yan Flüt;Ayşe Yıldız;2200;8;Pazartesi;14:00;;;
Ela Güneş;;Serpil Güneş;05364245772;Merkez;Gitar;Mehmet Kaya;2600;4;Pazartesi;18:00;;;
Kaan Öztürk;;Hüseyin Öztürk;05345757054;Kadıköy;Ney;Deniz Koç;2200;4;Cuma;19:00;2026-05-04;4400;3
Hüseyin Duman;;Ali Duman;05433502987;Merkez;Keman;Elif Demir;1800;4;Salı;14:00;;;
Defne Kılıç;;Ramazan Kılıç;05332548794;Kadıköy;Ukulele;Mustafa Çelik;1800;4;Salı;12:00;;;
Efe Şimşek;;Fatma Şimşek;05349805908;Kadıköy;Ukulele;Mustafa Çelik;2400;4;Salı;18:00;;;
Meryem Polat;05558987648;;;Kadıköy;Davul;Emre Aydın;2600;4;Çarşamba;15:00;2026-04-20;2600;1
Fatma Aydın;;Necla Aydın;05326820403;Merkez;Org;Ahmet Yılmaz;2200;4;Cuma;16:00;2026-06-03;2200;2
Elif Özdemir;;Nurten Özdemir;05431730556;Kadıköy;Bağlama;Mustafa Çelik;1800;4;Salı;14:00;;;
Şeyma Kaya;;Mustafa Kaya;05334967668;Merkez;Viyolonsel;Can Arslan;2600;4;Çarşamba;13:00;;;
Arda Işık;;Fatma Işık;05368466105;Merkez;Viyolonsel;Can Arslan;1800;4;Cumartesi;11:00;;;
Kerem Korkmaz;;Fatma Korkmaz;05427688566;Merkez;Viyolonsel;Can Arslan;2000;4;Perşembe;16:00;;;
Arda Yıldız;;Ramazan Yıldız;05533451318;Merkez;Viyola;Elif Demir;2400;4;Pazartesi;12:00;;;
Emre Kılıç;;Fatma Kılıç;05441144522;Kadıköy;Piyano;Fatma Öztürk;2200;4;Salı;19:00;2026-04-19;0;2
Meryem Öztürk;;Hatice Öztürk;05542576735;Merkez;Viyolonsel;Can Arslan;2000;8;Cumartesi;13:00;2026-01-28;0;4
Ece Tekin;;Emine Tekin;05537167855;Kadıköy;Kanun;Deniz Koç;2000;8;Cumartesi;16:00;;;
Ege Tekin;05443398856;;;Kadıköy;Ney;Deniz Koç;2400;4;Cumartesi;12:00;;;
Derya Koç;;Kadir Koç;05442833514;Kadıköy;Ney;Deniz Koç;2200;4;Pazartesi;14:00;;;
